id;unionid;remark;userid;is_leader_in_depts;is_boss;hired_date;is_senior;tel;department;work_place;order_in_depts;mobile;errmsg;active;avatar;is_admin;is_hide;jobnumber;name;extattr;state_code;position;roles
1;uniform conglomeration;eyeballs Human Intelligent;Zimbabwe generating Berkshire;Shoes Directives indigo;true;58265;true;Cotton;cutting-edge XSS 吉林省;overriding;../fake-data/blob/hipster.txt;transitional;Networked Wooden;true;standardization 湖南省 AI;true;false;evolve Garden;SMTP;../fake-data/blob/hipster.txt;synthesize application vertical;../fake-data/blob/hipster.txt;synergistic synthesize parallelism
2;invoice;invoice Customer transmitter;Cambridgeshire Plastic;山西省;false;11339;false;Beauty Producer;empower Refined;Soft invoice Berkshire;../fake-data/blob/hipster.txt;Bahrain synergies;bus;true;primary;false;false;Frozen;lavender Sleek invoice;../fake-data/blob/hipster.txt;Refined programming;../fake-data/blob/hipster.txt;Steel ivory
3;Wooden;THX;overriding Small;visionary;true;36975;true;drive Wooden Facilitator;copying;Wooden teal 路;../fake-data/blob/hipster.txt;firewall Automotive;intermediate;true;synthesize card 广东省;true;true;matrices;generate;../fake-data/blob/hipster.txt;Practical killer;../fake-data/blob/hipster.txt;adapter
4;compressing sensor;task-force;CSS Director Bedfordshire;Cheese;false;39056;false;compress parse Directives;blockchains;analyzer;../fake-data/blob/hipster.txt;北京市 National;Bike Wooden;true;Gorgeous Borders;true;true;RAM Kids;Fresh Liberian;../fake-data/blob/hipster.txt;Stand-alone;../fake-data/blob/hipster.txt;payment Practical
5;Functionality;Buckinghamshire JBOD;brand navigate SMTP;Engineer Optimization invoice;true;70398;false;seize Directives Automotive;foreground;District SSL asymmetric;../fake-data/blob/hipster.txt;engineer generating purple;Administrator;true;initiatives;false;true;capability Outdoors;empower 湖南省 Grass-roots;../fake-data/blob/hipster.txt;transmitting;../fake-data/blob/hipster.txt;Angola Aruba
6;coherent synthesizing Boliviano;IB Account;SQL Ergonomic;Georgia Assurance;true;30138;true;24/365 Incredible;RAM Steel;Granite client-driven Phased;../fake-data/blob/hipster.txt;Pound;Handcrafted of hierarchy;false;withdrawal;true;true;Borders extend;cultivate;../fake-data/blob/hipster.txt;Fish;../fake-data/blob/hipster.txt;Cambridgeshire Cheese Supervisor
7;USB 中心 viral;capacity Cheese;input;Centralized;true;77490;false;Philippines Towels;generation Right-sized;Jewelery;../fake-data/blob/hipster.txt;invoice Dynamic;Incredible;false;human-resource background Sausages;true;false;Officer help-desk Unbranded;hardware Health Borders;../fake-data/blob/hipster.txt;四川省 Fresh;../fake-data/blob/hipster.txt;Representative
8;copy Total withdrawal;Peru;copy Plastic 旁;Engineer harness;true;82159;true;help-desk Steel Infrastructure;Communications structure;action-items;../fake-data/blob/hipster.txt;Senior Producer User-friendly;Organized capability;false;Bhutanese Representative;true;false;revolutionary Research program;Global withdrawal;../fake-data/blob/hipster.txt;engage overriding context-sensitive;../fake-data/blob/hipster.txt;Data
9;Practical implement;system Global;Supervisor Assistant GB;街 Engineer Licensed;false;81399;false;deposit;partnerships;web Investment hard;../fake-data/blob/hipster.txt;Beauty reciprocal e-services;input;true;aggregate 安徽省;false;false;orchid;中心 Bike Awesome;../fake-data/blob/hipster.txt;matrix navigate Designer;../fake-data/blob/hipster.txt;USB
10;Group Facilitator;CSS Berkshire;infrastructure Tools Technician;navigate Pizza;false;30858;true;侬 input;withdrawal Plastic;contextually-based;../fake-data/blob/hipster.txt;withdrawal;Representative;false;Proactive;false;true;bypass back-end Malawi;orange;../fake-data/blob/hipster.txt;withdrawal context-sensitive Soft;../fake-data/blob/hipster.txt;intuitive copying
