id;name;title;owner;owner_user_id;chatid;open_conversation_id;conversation_tag;useridlist;uuid;icon;show_history_type;searchable;validation_type;chat_banned_type;mention_all_authority;management_type;template_id;official_group;enable_scenegroup;group_url;time
0a6f713e-e7ad-4c8c-996f-f2df61a65d8d;Soap;Anguilla;Jewelery;feed Frozen;orange Cross-group payment;revolutionize 浙江省;87015;../fake-data/blob/hipster.txt;FTP;holistic utilisation 桥;Fish Kids;Loan Gloves;EXE;primary;SDD Auto payment;synergistic back-end back-end;Developer;false;true;Chief;2021-08-05T17:09:58
f0c0dbc5-8fe7-4395-9091-414e6132d4fa;Soft web-enabled Baby;Republic;Electronics THX 路;Avon e-markets;湖南省;Borders Pataca;95439;../fake-data/blob/hipster.txt;街 auxiliary Fresh;open-source;Pierre;deposit Shoes;Account;Garden niches payment;江西省;value-added Sum 湖南省;Rubber Designer even-keeled;false;true;markets redefine;2021-08-06T04:58:48
04410893-8a64-463f-aad5-5350a2a3faa3;magnetic Small Garden;Dynamic;standardization virtual;Mouse Metal;modular transmitter;Licensed Health;31133;../fake-data/blob/hipster.txt;Cheese Sleek;Concrete;Automated 街;陕西省;Keyboard 安徽省 eyeballs;四川省;Small Handcrafted;Small;neural-net 24/365 CSS;true;true;emulation deposit;2021-08-05T09:30:12
7d9c16d4-b26f-41ef-86b9-42499bed61a6;桥 Manat enterprise;THX Pants;侬;宁夏 quantify Account;中心;旁;94231;../fake-data/blob/hipster.txt;bluetooth withdrawal Towels;广东省;Stand-alone;Music;Legacy 巷 salmon;architect Savings;Tools algorithm;JSON 巷 orange;Cheese deposit payment;true;false;background;2021-08-05T23:24:30
04cbea3c-64ff-48e5-88f5-bbc58e802eed;Web Loan Industrial;Pants Global Account;Berkshire;(EURCO);Gloves;Cotton;64095;../fake-data/blob/hipster.txt;Corporate;copy;Engineer Table paradigm;Advanced;brand TCP;transitional;甘肃省;channels Clothing Pants;Sleek protocol SDD;false;false;ubiquitous;2021-08-06T02:54:14
815520cb-5437-401f-8fbd-386a74b65b7f;Palau Dinar;discrete Tools matrix;implement;cross-platform payment;Toys;orchid Specialist asynchronous;4747;../fake-data/blob/hipster.txt;panel optimize programming;路 Buckinghamshire revolutionary;reboot;programming wireless reintermediate;niches bandwidth Central;firmware;blockchains programming;Cambridgeshire;Granite e-business partnerships;true;true;indexing invoice Granite;2021-08-05T21:52:16
a37f1753-49e6-4826-89b8-7c22cc4470c9;SAS e-enable Granite;Car deposit Global;Technician 桥;niches;Future recontextualize;CSS;69926;../fake-data/blob/hipster.txt;copy invoice Armenian;桥 alarm;Chicken Engineer;proactive Global hack;Bike Technician Mandatory;Baby 福建省 Keyboard;Hungary 旁;Response Cotton Account;Tasty Buckinghamshire;true;false;街 Metrics Steel;2021-08-06T04:22:39
5f83addd-074e-4442-bb7c-3da771c0dedb;hack deposit harness;e-business Usability overriding;Gloves empower;cross-media connecting Toys;District Frozen;parse;39729;../fake-data/blob/hipster.txt;Soap Human;analyzing SSL feed;Fresh efficient 街;bypassing Russian;Producer Bike back;Persevering;Omani lavender;Handmade Pizza Refined;compressing copying;false;false;Engineer;2021-08-05T21:59:02
5aa38388-e527-4073-8734-f68a3d27b5e7;Benin parse e-business;Implementation innovative;Dominican withdrawal composite;cross-platform Tuna copy;e-enable;Identity wireless payment;57564;../fake-data/blob/hipster.txt;Factors alliance;Plastic;firewall;plug-and-play;Cameroon Avon fuchsia;Savings Savings;AGP;microchip;Money 栋;false;false;Soft solution-oriented cross-platform;2021-08-05T08:42:06
0595d7d4-35bb-4802-a219-36cf0f34e88d;Market;Industrial;interface;matrix Account 广东省;bypassing synthesize;Account;40467;../fake-data/blob/hipster.txt;Faroe green reboot;redundant SQL;index generate;incubate 1080p payment;Checking compress;Jewelery Account AGP;Operations synthesize Berkshire;Unbranded Buckinghamshire;Towels Fish;true;false;Kyat Investment British;2021-08-05T21:03:31
